agent_id	 startSearchTime	 parkTime	 searchTime	 distanceToDestination	 parkingLotId
00#-8841611526406057960	 53	 67	 14	 1.093463e+002	 sp-20_b
11#-6791017654137906270	 95	 100	 5	 5.358076e+001	 sp-42_a
22#6915810122660015811	 76	 77	 1	 5.358076e+001	 sp-40_a
33#9222875157662466762	 93	 96	 3	 1.143280e+002	 sp-66_a
44#2936233882739726020	 85	 101	 16	 4.643934e+001	 sp-40_b
55#4193905798619879543	 111	 134	 23	 4.643934e+001	 sp-62_b
66#2243382395536737501	 79	 83	 4	 1.125651e+002	 sp-16_a
77#-2760141532706931408	 111	 158	 47	 5.358076e+001	 sp-62_a
88#-8136475729113448470	 91	 107	 16	 1.111603e+002	 sp-16_b
99#-995960976267486930	 143	 168	 25	 5.358076e+001	 sp-38_a
1010#-6405067459617523592	 101	 131	 30	 4.643934e+001	 sp-42_b
1111#-7733467099047988442	 145	 220	 75	 1.125651e+002	 sp-64_a
1212#-6495624990357979048	 125	 141	 16	 4.643934e+001	 sp-38_b
1313#5988364664927808987	 159	 188	 29	 1.093463e+002	 sp-66_b
1414#7146887544857241867	 128	 151	 23	 1.143280e+002	 sp-20_a
1515#1924445933925482144	 157	 170	 13	 1.111603e+002	 sp-44_b
1616#3775425394964683548	 149	 175	 26	 1.093463e+002	 sp-60_b
1717#8729680453212084971	 181	 208	 27	 1.093463e+002	 sp-36_b
1818#-2636038289221937490	 135	 143	 8	 1.143280e+002	 sp-36_a
1919#-8360835017069004234	 192	 260	 68	 1.778829e+002	 sp-22_b
2020#1876566274985429690	 151	 181	 30	 1.125651e+002	 sp-44_a
2121#4581024320739533784	 202	 256	 54	 1.111603e+002	 sp-58_b
2222#1871148106570749156	 160	 674	 514	 2.043443e+002	 sp-70_a
2323#-4025506953120878232	 211	 994	 783	 2.513666e+002	 sp-26_b
2424#-6537085099683188871	 189	 412	 223	 1.827161e+002	 sp-22_a
2525#-1207692746891981424	 215	 -99	 -99	 -99	 --
2626#-2948562268865582685	 186	 -99	 -99	 -99	 --
2727#8643875857870290377	 227	 -99	 -99	 -99	 --
2828#1127786537158613669	 209	 418	 209	 1.143280e+002	 sp-60_a
2929#8757436532596474613	 237	 296	 59	 2.060847e+002	 sp-86_b
3030#2774852306982566903	 198	 260	 62	 1.827161e+002	 sp-24
3131#1380353313114933155	 248	 535	 287	 2.060847e+002	 sp-54_a
3232#-5977097554370557820	 229	 381	 152	 1.125651e+002	 sp-58_a
3333#-5446518575953967835	 260	 316	 56	 1.111603e+002	 sp-64_b
3434#8007267579418476264	 239	 419	 180	 2.043443e+002	 sp-4_b
3535#5647717957510582140	 265	 1085	 820	 2.663232e+002	 sp-72
3636#8015069276737268754	 245	 415	 170	 2.663232e+002	 sp-102
3737#486549885298689831	 283	 379	 96	 1.827161e+002	 sp-24
3838#162070680397300916	 242	 1507	 1265	 2.043443e+002	 sp-82_a
3939#-113762503115281854	 285	 776	 491	 2.513666e+002	 sp-6
4040#-153224666596443761	 268	 1063	 795	 1.535747e+002	 sp-84
4141#6514021510455672451	 298	 443	 145	 1.535747e+002	 sp-46
4242#-4164263917485009322	 280	 703	 423	 1.838075e+002	 sp-56_a
4343#8952415511360017297	 306	 394	 88	 1.464320e+002	 sp-18_b
4444#465455433337849102	 286	 329	 43	 1.778829e+002	 sp-12_a
4545#4531560246640128846	 303	 348	 45	 1.827161e+002	 sp-68
4646#-1060247964441127406	 295	 438	 143	 3.180064e+002	 sp-114
